0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1102,2088,1160,1351,1592,1727,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1110,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1130,1469,1661,1105,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1145,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1157,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1160,1351,1592,1727,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1110,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1130,1469,1661,2088,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1145,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1157,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1351,1592,1727,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1130,1469,1661,2088,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1145,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1157,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1592,1727,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1145,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1157,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1727,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1157,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1157,2070,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,1158,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1727,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1157,1158,1925,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1159,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,2070,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1727,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1157,1158,1159,1554,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1160,1595,1306,1353,1786,1685,1338,1925,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,2070,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1727,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1157,1158,1159,1160,1832,1457,1366,1652,1725,1663,1770,1958,1960,1435,1554,1595,1306,1353,1786,1685,1338,1925,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,2070,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1727,1251,1616,1183,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
1102,1105,1110,1130,1145,1157,1158,1159,1160,1183,1457,1366,1652,1725,1663,1770,1958,1960,1435,1554,1595,1306,1353,1786,1685,1338,1925,1194,1816,1467,1578,1238,1981,1941,1814,1934,1761,1717,1469,1558,1940,1286,1226,1795,1442,1728,1351,1469,1661,2088,1593,2048,1855,2012,2070,1968,2057,1865,1977,1951,2000,1623,1405,2061,1401,1712,1872,2013,1685,1403,1709,1618,1592,1852,1596,1858,1894,1917,1555,1515,1575,1392,1566,2044,1258,1856,1727,1251,1616,1832,1219,1697,2093,1350,1482,1558,1438,1253,1933,1207
